"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Season"
"4","14/08/93","Liverpool","Sheffield Weds",2,0,"H",NA,NA,"","1993-94"
"20","18/08/93","QPR","Liverpool",1,3,"A",NA,NA,"","1993-94"
"33","22/08/93","Swindon","Liverpool",0,5,"A",NA,NA,"","1993-94"
"40","25/08/93","Liverpool","Tottenham",1,2,"A",NA,NA,"","1993-94"
"49","28/08/93","Liverpool","Leeds",2,0,"H",NA,NA,"","1993-94"
"61","1/9/1993","Coventry","Liverpool",1,0,"H",NA,NA,"","1993-94"
"76","12/9/1993","Liverpool","Blackburn",0,1,"A",NA,NA,"","1993-94"
"80","18/09/93","Everton","Liverpool",2,0,"H",NA,NA,"","1993-94"
"91","25/09/93","Chelsea","Liverpool",1,0,"H",NA,NA,"","1993-94"
"102","2/10/1993","Liverpool","Arsenal",0,0,"D",NA,NA,"","1993-94"
"114","16/10/93","Liverpool","Oldham",2,1,"H",NA,NA,"","1993-94"
"125","23/10/93","Man City","Liverpool",1,1,"D",NA,NA,"","1993-94"
"137","30/10/93","Liverpool","Southampton",4,2,"H",NA,NA,"","1993-94"
"148","6/11/1993","Liverpool","West Ham",2,0,"H",NA,NA,"","1993-94"
"165","21/11/93","Newcastle","Liverpool",3,0,"H",NA,NA,"","1993-94"
"185","28/11/93","Liverpool","Aston Villa",2,1,"H",NA,NA,"","1993-94"
"193","4/12/1993","Sheffield Weds","Liverpool",3,1,"H",NA,NA,"","1993-94"
"202","8/12/1993","Liverpool","QPR",3,2,"H",NA,NA,"","1993-94"
"208","11/12/1993","Liverpool","Swindon",2,2,"D",NA,NA,"","1993-94"
"224","18/12/93","Tottenham","Liverpool",3,3,"D",NA,NA,"","1993-94"
"229","26/12/93","Sheffield United","Liverpool",0,0,"D",NA,NA,"","1993-94"
"238","28/12/93","Liverpool","Wimbledon",1,1,"D",NA,NA,"","1993-94"
"249","1/1/1994","Ipswich","Liverpool",1,2,"A",NA,NA,"","1993-94"
